asset_uid,source,retrieved_at,as_of,address,balance,balance_usd
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0001,200000000.0,200000000.0
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0002,130000000.0,130000000.0
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0003,70000000.0,70000000.0
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0004,40000000.0,40000000.0
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0005,30000000.0,30000000.0
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0006,15000000.0,15000000.0
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0007,10000000.0,10000000.0
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0008,5000000.0,5000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0014,180000.0,720000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0015,150000.0,600000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0016,120000.0,480000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0017,100000.0,400000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0018,90000.0,360000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0019,80000.0,320000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a001a,70000.0,280000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a001b,60000.0,240000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a001c,55000.0,220000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a001d,45000.0,180000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a001e,30000.0,120000000.0
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a001f,20000.0,80000000.0
ethereum:0x0000000000000000000000000000000000000003,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0028,55000.0,55000000.0
ethereum:0x0000000000000000000000000000000000000003,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a0029,20000.0,20000000.0
ethereum:0x0000000000000000000000000000000000000003,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a002a,10000.0,10000000.0
ethereum:0x0000000000000000000000000000000000000003,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a002b,6000.0,6000000.0
ethereum:0x0000000000000000000000000000000000000003,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a002c,4000.0,4000000.0
ethereum:0x0000000000000000000000000000000000000003,sample_chain,2026-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0x00000000000000000000000000000000000a002d,3000.0,3000000.0
