asset_uid,source,retrieved_at,block_time,tx_hash,log_index,from_address,to_address,amount,amount_usd,kind
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-06-03T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,0x00000000000000000000000000000000000a0001,100000000.0,100000000.0,mint
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-06-09T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000001,0,0x0000000000000000000000000000000000000000,0x00000000000000000000000000000000000a0002,80000000.0,80000000.0,mint
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-06-16T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000002,0,0x0000000000000000000000000000000000000000,0x00000000000000000000000000000000000a0003,60000000.0,60000000.0,mint
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-06-23T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000003,0,0x0000000000000000000000000000000000000000,0x00000000000000000000000000000000000a0004,40000000.0,40000000.0,mint
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-06-12T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000004,0,0x00000000000000000000000000000000000a0005,0x0000000000000000000000000000000000000000,30000000.0,30000000.0,burn
ethereum:0x0000000000000000000000000000000000000001,sample_chain,2026-07-01T00:00:00+00:00,2026-06-27T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000005,0,0x00000000000000000000000000000000000a0006,0x0000000000000000000000000000000000000000,20000000.0,20000000.0,burn
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-02T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000006,0,0x0000000000000000000000000000000000000000,0x00000000000000000000000000000000000a0014,50000.0,200000000.0,mint
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-18T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000007,0,0x0000000000000000000000000000000000000000,0x00000000000000000000000000000000000a0015,30000.0,120000000.0,mint
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-25T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000008,0,0x00000000000000000000000000000000000a0016,0x0000000000000000000000000000000000000000,10000.0,40000000.0,burn
ethereum:0x0000000000000000000000000000000000000002,sample_chain,2026-07-01T00:00:00+00:00,2026-06-04T12:00:00+00:00,0x0000000000000000000000000000000000000000000000000000000000000009,0,0x00000000000000000000000000000000000a0014,0x00000000000000000000000000000000000a0015,40000.0,160000000.0,secondary
